feature,coefficient
poutcome_success,2.232751586419372
contact_unknown,-1.1805233304817342
month_mar,1.068021244483328
month_jan,-1.0487375622291009
month_oct,0.8331253396507017
month_nov,-0.8234339177187626
month_aug,-0.7787911875710491
month_sep,0.6834808796177718
month_dec,0.6582641012695163
month_jul,-0.6351339768151653
month_may,-0.4743132990962274
housing_yes,-0.4676974913066087
job_retired,0.4648868338269103
loan_yes,-0.3483386109254062
job_housemaid,-0.3473259344353355
month_feb,-0.3394895455376807
education_tertiary,0.30212542857347374
job_student,0.29973758248358173
marital_married,-0.25943654278543615
poutcome_unknown,0.23913463110902047
poutcome_other,0.22775068998255843
campaign,-0.22220263713160998
contact_telephone,-0.1716997824048306
job_unknown,-0.17014977781748242
default_yes,-0.16705296334567304
job_self-employed,-0.15848539220354918
education_unknown,0.15207380877672355
was_previously_contacted,0.14763056754203027
education_secondary,0.13802226606160387
job_entrepreneur,-0.13134116989049555
job_services,-0.11672898634687076
marital_single,0.09806372481141204
job_blue-collar,-0.09182784390362918
balance,0.08721647906489083
job_management,-0.08182946644551367
month_jun,0.07668382486753403
job_technician,-0.07432261780278937
job_unemployed,0.06829247890692965
previous,0.060627235852396676
age,-0.017443299187017983
pdays_clean,-0.008208925604224546
day,0.000804000779141096
